Name,Review,Ratings,Cost(₹)
shaik sultan,Awesome phone with unlimited features... but  battery lacks...READ MORE,4,26999.0
Flipkart Customer,excellent phone with all features of galaxy note 8 ( no s pen )and some additional features excellent flqgship phoneREAD MORE,5,26999.0
Naveen  Kumar,Awesome display...but takes a hit on batteryREAD MORE,5,26999.0
Ravi Yadav,Samsung most of the quirks in S9 loved the phone and I like phones of this form factorREAD MORE,5,26999.0
Josmith Ephraim,Got it delivered Earlier than expected.  As you expect the display is absolutely stunning . Overall really liked the Samsung experience.READ MORE,5,26999.0
Elango Subramaniam,awesome camera quality..hope will get update for better potrait mode optionREAD MORE,4,26999.0
Ajai G.V,Hey Wowww... Nothing to say no more about this. Bcoz this is Samsung 😍READ MORE,5,26999.0
Pranav,"The phone warms up to temperatures of 47 degrees even in normal usage. The battery doesn't last for more than 4 hours of screen on time. Flipkart is denying replacement as the technician refuses to acknowledge the issue. I bought this phone for its small and comfortable form factor but nothing is worth so much trouble. I recommend you stay away from buying this device. Don't let the sale fool you into buying defective products. Save your hard earned money. Ask me, I've been duped of Rs 28000 !READ MORE",2,26999.0
syed ali,obviously so was a flagship phone even now so the money u r paying is none waste again only three draw back it's the battery but no issues for a normal user it will last a dayREAD MORE,4,26999.0
Samarth Bhardwaj,"First let me give you all the physical overview...The handset looks awesome in the hands,having the glass back(though it attracts fingerprints)Now let's talk about the cons: 1.  Battery Backup __ It'll last a typical working day(i.e. around 16-18 hours of normal usage) 2.  Infinity Screen __ No tempered glass can be fitted...So it makes it even more fragile!!Now time for the pros: Everything about the phone is a PRO feature!!!! Whether it's about the Audio quality or the Video qualit...READ MORE",5,26999.0
Abhishek Tewatia Abhi,Excellent phone and thanks to flipkart.Delivery is very fast and i recieve this order on 16th march in morning.And S9 is gud in performances camera and by design.READ MORE,5,26999.0
Jahar Naskar,"excellent display, more excellent sound, superfast responsive but with a poor battery. Not even lasting a day with full hd resolution. after using it six months, I regret for purchasing it, rather any Samsung product. A light bash on the screen and it's shattered completely, and they asking 15K for it within warranty or whatever it is. Then what's the point to buy such a high price product???? Sharing it on social media, don't know it will be published at Flipkart or notREAD MORE",3,26999.0
A Rehman Khan,"Superb Phone,Superb camera,Battery issuesREAD MORE",4,26999.0
Deendayal Sharma ,"Only battery life is an issue, remaining everything is superbREAD MORE",5,26999.0
Thasleem MS,Very goodREAD MORE,5,26999.0
Deepank Rastogi,"1st of all, kudos to FK. This phne was to arrive on 17th March but they gave me on 16th itself.The packaging was wonderful.The device is just perfect, its delicate, its beautiful.Phone never lags or hangs. Battery life is decent, with medium usage you may need to charge it twice.Camera is its USP & its great.READ MORE",5,26999.0
Balraj Veer Singh,Crazy displayREAD MORE,5,26999.0
Prem Kishan  singh,good product but the battery performance is not up to mark and network issue is always thereREAD MORE,5,26999.0
Sanjiv Verma,There is only one disadvantage of this phone i.e its battery backupREAD MORE,5,26999.0
Flipkart Customer,classy product.READ MORE,5,26999.0
Suraj  Poddar ,Awesomeness! Classic in its own way. Coral blue looks so premium. Samsung not only says but has really REIMAGINED THE CAMERA. The feel of the touch screen is so flawless. Only con is that the buttery drains very fast. Now after using it for 1 month i am getting speaker issues. Some times both the speaker are crackling and sometimes 1 is working fine and the other one is crackling after some time it gets fine. But now maximum time i am getting the issue. I went to the care and they said a rese...READ MORE,5,26999.0
Paul Win,fast Delivery from flipkart 🤩                                                 1. camera is awesome especially during low light photography u can get clear picture f1.5 aperture 😘                                                            2. Displays is gorgeous 🔥                                                           3.Good performance no lags                                                 4. battery back-up is gud u will get  5 to 6 hours screen on time                                ...READ MORE,5,26999.0
Faizal Fraz,"The camera quality is simply amazing. If you use the pro mode effectively, you'll get mind blowing results. The next best thing is that the phone ia waterproof. The display is crisp. The only downside of this phone is the battery. I'm use the mobile phone fairly enough in a day that includes watching YouTube, movies, using Instagram and WhatsApp. I charge the phone twice a day to get going. Highly recommend a power bank with this phone.READ MORE",4,26999.0
Mukesh Kewalramani,"Battery is really weak. Am not some heavy user but then also battery couldn't last for half a day. So make sure you carry charger. Also, it's new phone, after few months battery further detonates. Camera, performance, screen everything is amazing. iris scanner n face lock n fingerprint scanner is on slower side as compared to one plus or pixel3aREAD MORE",4,26999.0
Rahul  Jadhav,awesome but battery issueREAD MORE,4,26999.0
Syed Noman,excellent camera performance.. 🤙READ MORE,5,26999.0
Flipkart Customer,"unexpected battery backup... doesn't hold for even 8 hrs... very bad decision to buy this flagship... don't buy... if possible buy the Snapdragon 845 from US, exynos seems to be messed up for s9.READ MORE",1,26999.0
Abhishek,"This turned out to be a good buy for 21.5k.The display on this device is excellent. It is on par with the new flagship phones in the market. Edge screen/edge notifications, always on display, all of these are very cool features.The battery back up is average, if you're a heavy user, you will be disappointed. There's a lot of unnecessary services that keep running and draining battery. With a little bit of browsing and normal fb/insta/emails it lasts 10-12 hours. I dont play games so, ok f...READ MORE",4,26999.0
Nikunj,"I have upgraded to s9 from a5 2017. smart switch was really helpful to take apps to s9. s9 is wonderful smartphone which I got on same price of my earlier smartphone i.e. around rs.30,000. thank you flipkart and samsung.READ MORE",5,26999.0
Ashutosh Kumar,"I updated my phone from redmi note 5 pro to S9, It realy awesome feeling. everyone telling about bad battery but I feel it is satisfactory for 3000 mah. It is not for heavy use but in normal use, it lasting for whole day. I am satisfied with S9. next to you.......READ MORE",5,26999.0
M.Deepak  Reddy,I thought to buy oneplus 7 over s9 then I realised sar value of oneplus is higher                                                          Thouse who said camera quality is poor can use pro mode and can take advantage of variable aperture             Battery life is decent and is up to your usage if you don't have any work and your only job is to play games  social media YouTube and internet the battery won't last                                                                                ...READ MORE,5,26999.0
Saheed  Sk,nice device by Samsung but battery could have been a bit more betterREAD MORE,4,26999.0
Rahul,After a year of usage I can definitely best phone I ever had. But samsung needs to work on heating issue. Its getting heated very fast as previous samsung phones. After a year also getting slow and sometime it hangs too.READ MORE,4,26999.0
Md Sanaullah  Siddiqui,Samsung S9 at its best..just awesomeREAD MORE,5,26999.0
tushar Kansal,"Heating and battery draining problem. Even flipkart executive refused to help. They considered device faulty only when temp reaches to 50°, else they consider device to be normal even if your hands are feeling lot of heat. Poor feedback for flipkart. Never recomend to buy from here.READ MORE",1,26999.0
sudhansu sekhar  mishra,First of thanks to flipkart for delivering BDD. Very good product by Samsung. I really liked it.READ MORE,5,26999.0
Pavan Kumar,Nothing better than s7 edgeREAD MORE,1,26999.0
Flipkart Customer,"Perhaps one of the best phones available; everything one could ask for but possibly one of the worst batteries I've ever used. I need to charge it between 2-3 times a day. I don't run it in power saving mode, why should I? I paid for a powerful phone and want it to run to the best of its capabilities.READ MORE",4,26999.0
prerana malviya,"Poor battery runs not even for half day if internet is on, sold it into a week,not as per expectations.READ MORE",1,26999.0
DeEp Panja,Awesome Camera QualityREAD MORE,5,26999.0
Siddharth Havale,Truely black beuty no con found yetREAD MORE,5,26999.0
Satish Kumar N,S9 received on 16th march 2018 and the battery backup is very poor. Even it'll not sustain for 12hrs. I need to charge again.Battery backup is very poor.I suggest not to buy this s9.READ MORE,1,26999.0
Elvito Shohe,received the product a day earlier so 👍 F.Kart. evrything abt S9 is brillant wud rate 10/10. got it as I expected it to be. thank flip kart🙏.READ MORE,5,26999.0
Abaniswar Ghoshal,It’s a Preeti cool looking Nd handy setREAD MORE,5,26999.0
Thanooj MS,Overall performance is good except battery. Battery is below average. Heavy mobile data users don't buy this mobile.READ MORE,3,26999.0
Vrajesh Parekh,Superb phone! Extremely impressed with flipkart delivery. The phone was delivered on 16th itself. Flipkart also gave a calendar and diary along with the phone. I will submit a detailed review after extensive use of the phoneREAD MORE,5,26999.0
Shridhar K,"Too early to write a review, but at the same time I can not leave it just like that. From S6, I am using this great phone. S9 - As I was using S8 till today morning, really I could not find big difference between S8 and S9. But these are my thoughts in my first 6 hours of using this S9 phone. 1. Speed is super. 2. Camera, clarity amazing. 3. Amazing finishing 4. first class audioAs far as flipkart as usual they delivered before on timeKudos to Samsung and flipkart.READ MORE",5,26999.0
ashutosh anand,"premium look..metal and glass finishtalking about display, the best in market with qhd resolution 570 ppi, HDR 10 compliantcamera is nice atleast it's a flagship, performance is very nice it's compared to sd845, no lags or hiccups.battery is a bit underrated. only 3000mah. you have to charge it twice a day if you are moderate user. heavy users may have to do it 3-4 times a day.READ MORE",4,26999.0
Flipkart Customer,ultimate s9 look and comfortable sizeREAD MORE,5,26999.0
Piyush P,very poor battery. if u call for just 1min battery down by 2%.very poor battery lifeREAD MORE,2,26999.0
Vaibhav Bain,First of all the size of the phone. For a person like me the size of the phone matters a lot. I was going to buy ROG 2 but because that phone is too big I bought S9. And well I am really satisfied with the phone. It feels sleek and  Premium.                                         If I talk about camera the 12 MP camera is far better than most of the 48 MP camera phones out there.             Performance is not questionable at all and with ONE UI 2.0 the phone is buttery smooth.        Batter...READ MORE,4,26999.0
Sujan Chatakonda,after using two weeks I feel the phone usedfulREAD MORE,5,26999.0
Faiz Ansari,"Good but not great.I was skeptical because of negative reviews related to battery.  However once the device has been delivered, the battery life is just ok. Sammy should have gone with more battery capacity. I have been using this device since a week and my experience has been good but not better as compared to my previous phone: OnePlus 5.The question needs to be asked is what type of user are you?>>If you consume media then s9 may be the best option in this price range considering it ...READ MORE",4,26999.0
Flipkart Customer,"Received the phone perfectly. Every features of phone is perfect despite being a 2 year old model. But the major problem I found with the phone is it has been Region Locked! It is written - ""Indian SIM cards only"" - on the sticker which needs to be removed to open the box. This was not mentioned anywhere in Flipkart while making the order.READ MORE",3,26999.0
Bhupender Kumar,just love it...😍🥰😍READ MORE,5,26999.0
M SWAMINATHA,"Firstly, I got it at good deal of 30k. It's so worthy at this price and second, it's S9! Ton of features, incredible edge display, stereo speakers made me impressed. But it lacks in battery. I would recommend to purchase.READ MORE",4,26999.0
Sarvesh  Loharkar,if you don't have money to buy flagship but wanna take that experience this is opportunity for youfar better than parallel Apple productdisplay is best in classcamera is too greatonly concern is battery if you are ready to compromise battery thing for money you savethere is no other value for option that can beat thisREAD MORE,4,26999.0
Flipkart Customer,Flipkart delivers bad product. After 15 days my phone is suddenly switch off and unable to switch on. Customer care says go to service centre. Very bad service.READ MORE,1,26999.0
Akhilesh  Chaubey,"the S9 is super phone.. look wise it's too good. only problem  of this phone is battery. I use to turn off my location and data so that I can use it for full day.. elese this phone battery would be dead in 12-14hrs. the screen quality is too good. I like handy phone which can be operated with single hand and it fits perfectly. switching over the Apps, touch, performer is really good (I have used it thoroughly for 8days). it was heated during running multiple apps and movies but when I change ...READ MORE",5,26999.0
Flipkart Customer,Amazing phone with amazing camera and screen. size is perfect to hold it in ur palm as it is narrow in width and long in length.READ MORE,5,26999.0
Flipkart     vinod   Shukla,Good but samsung made in India slow down in 9mthREAD MORE,4,26999.0
Kirtikumar Giripunje,Mobile is very good look but battery drain very fast.READ MORE,2,26999.0
Flipcart Costumer ,Best phone from Samsung.. functions and features are very advanced nd bit complicated ..they have given diary nd calender nd back cover as complimentary .. product is worth for the price spend..READ MORE,5,26999.0
Venkat,"Camera is very good but slowmo captures best under bright lighting .For any HD+ Super AMOLED phones the battery should be more than 3500 mAh Battery .I have set Screen res to HD+ and display mode to AMOLED to attain 24 hrs phone operating , which is letting me give only 3.5 stars .Users wants to purchase S9 can purchase or may wait for Note 9.READ MORE",4,26999.0
Apoorv Rawalgaonkar,Lilac purple colour is bit dark in person. It looks so beautiful. Flipkart made my unboxing experience exciting and delightful as they provided calendar and diary with s9 and Flipkart branding good job Flipkart.Device is very modern and futuristicREAD MORE,5,26999.0
Flipkart Customer,Just one word Excellent mobile Delivery is also goodREAD MORE,4,26999.0
Ajit Sharma,"Its a flagship, so lets talk about what flaws I have found after using 40 days.1. There is physical scratch on my mobile screen since I received the order and didnt noticed in first few days and then when I went to Samsung store as it was past 10 days (flipkart return window) they asked me to visit service center for screen replacement which is not acceptable. Previously I had iPhone 5S which I brought about 3 years back and once I had issue with the phone after 3-4 months and they did repla...READ MORE",4,26999.0
Pankaj Sharma,"Unboxing by me... its amazing product at 21,500/-READ MORE",5,26999.0
Flipkart Customer,fraud item sold on flip cart to me.within few second battery started draining.30 thousands rupees wasted.second handy product are sold on flipcart.i really regret for purchasing on flipcart.flipcart just looted my money by selling a used phone.READ MORE,1,26999.0
Veerendra  Kumar,value for moneyREAD MORE,4,26999.0
Flipkart Customer,very nice mobile suparREAD MORE,5,26999.0
Raju Ranjan,worst phone given by Flipkart .totally worst.headphone is defected.overheating problem too much.camera quality is dull .I have given replacement order 3 times.but yet my issue not resolved by flipkart.i m so tired of..now tommorow I m going to consumer court ND filled case against Flipkart ..bloodybasted Flipkart service.so angry at the moment ..READ MORE,1,26999.0
Flipkart Customer,the battery drains very quickly if the background features are ALL working Just  make some adjustment with the background features and battery will work great with all the  key features uninterruptedREAD MORE,5,26999.0
Subhalakshmi Manna,"Except battery everything is exceptional. Please Samsung think about it. So much features with a poor battery, destroying the party.READ MORE",4,26999.0
Aditya Tausalkar,"full marks to flipkart for making amazing deal on pre-order. worth every penny spent. delivered day advance than expected. Rated 3stars for poor battery back up. at this cost this important aspect of battery can't be ignored. even phones in 10 k range has better battery back up. so if you are looking for top notch build quality,  great android experience,  Dolby atoms sound S9 is good choice. But if your days are long and you continuously on the move and need good battery back up this may not...READ MORE",3,26999.0
Sheelu Sokhal,GreatREAD MORE,4,26999.0
Arun Singh,it's good and ValuableREAD MORE,4,26999.0
Siddharth Shah,"This is surely going to be 2018's best Android smart phone, except for one thing: battery life. The battery gets drained too fast. Hardly lasts half a day with moderate to heavy use.READ MORE",5,26999.0
Ashish Sahu,Of course this is stunning phone except battery but I can go with it for other stunning features... Overall camera is not good as pixel 2 XL. But it can be top 3 camera phone.READ MORE,5,26999.0
Sandeep Thomas,Preordered the phone and got it on March 16 morning along with a calendar and diary. Thanks Flipkart.READ MORE,5,26999.0
Jyotish Kumar,nice phoneREAD MORE,4,26999.0
Yogi,Fingerprint sensor is not working properly.  It needs to be restart again and again to use fingerprint sensor.. 'll return the phoneREAD MORE,1,26999.0
Flipkart Customer,fast charging total dump and battery drain very fast waste of money very bad product from samsungREAD MORE,1,26999.0
Subhajith  Roy,"I got it for 29,999 during big billion day. one of the best phones in this range. camera performance is outstanding. better than one plus.READ MORE",5,26999.0
RaviChander Reddy,"simply Awesome! IAM ordered  it with little bit doubts but mobile is very Good, I saw some negative  reviews about battery backup, in my usage battery is ok . I liked it very much, especially compatible in one hand.dolby also super, IAM reviewing after 20 days of usageREAD MORE",5,26999.0
Flipkart Customer,Quality of mobile is worseREAD MORE,1,26999.0
rajni,"I got phone in good condition.. got on time.  But there  is an issue with charger.  When I connect this to my phone, then a notification displays on screen that connect original charger. Overall phone is very goodREAD MORE",5,26999.0
Chintan Goyal,"Awesome Phone with Terribly Bad Battery:-Using it from past 3-4 days and the battery backup is pathetic. Either it is because of Android Pie update or what, but you'll get maximum 3-4 hours of screen on time, which is really less.READ MORE",3,26999.0
Abhishek  Nigam ,lilac purple colour of s9 device is so beautiful. device is so handy. camera quality very good and performance of device so smooth. and battery backup also good. and big thanks to flipkart who deliver original device of Samsung brand.READ MORE,5,26999.0
Flipkart Customer,I have used one plus 6 for more than a year and then i thought of switching to samsung and its really worth spending money on S9 as it feels very premium on your hands. One plus 6 performance is good but it looks very cheap.READ MORE,5,26999.0
